bls_area,soc_code,occupation,annual_median_wage,matches_location,note
"Cincinnati, OH-KY-IN",49-9021,Heating Air Conditioning and Refrigeration Mechanics and Installers,62240,"Cincinnati, OH|Mason, OH|Florence, KY",Mason and Florence sit inside the Cincinnati metro area
"Columbus, OH",49-9021,Heating Air Conditioning and Refrigeration Mechanics and Installers,64440,"Columbus, OH",
"Dayton-Kettering, OH",49-9021,Heating Air Conditioning and Refrigeration Mechanics and Installers,62500,"Dayton, OH",
"Lexington-Fayette, KY",49-9021,Heating Air Conditioning and Refrigeration Mechanics and Installers,60280,"Lexington, KY",
"Louisville/Jefferson County, KY-IN",49-9021,Heating Air Conditioning and Refrigeration Mechanics and Installers,58930,"Louisville, KY",
Michigan statewide,49-9021,Heating Air Conditioning and Refrigeration Mechanics and Installers,60850,COMP_BASE,Great Lakes Comfort Systems is a Michigan operation; this is the index denominator
