scenario,role_family,mean_abs_error_pct,max_abs_error_pct,mean_signed_error_pct
1. Operating companies only,Field - Install,7.3,11.3,0.5
2. Shared services left in the comp set,Field - Install,24.6,33.4,-24.6
1. Operating companies only,Field - Service,3.8,7.0,0.2
2. Shared services left in the comp set,Field - Service,24.9,28.1,-24.9
1. Operating companies only,Field Leadership,9.5,18.4,0.9
2. Shared services left in the comp set,Field Leadership,24.3,34.6,-24.3
1. Operating companies only,Field total,2.5,4.9,0.0
2. Shared services left in the comp set,Field total,24.9,28.6,-24.9
